id,name,affiliation,orcid
AB,Alexandre Boyer,"UMR Marbec, IRD, La Réunion, France",0009-0002-2787-1044
AJ,Alexis Joly,"INRIA Zenith, Montpellier, France",0000-0002-2161-9940
AG,Andrea Goharzadeh,"Ifremer DOI, La Réunion, France",
BDA,Belen De Ana,,
CLR,Cam Ly Rintz,"Ifremer DOI, La Réunion, France",0009-0005-0541-2332
DDO,Denis De Oliveira,"Ifremer DOI, La Réunion, France",
GM,Gaétan Morand,"UMR Marbec, IRD, La Réunion, France",0000-0002-0826-4487
JB,Julien Barde,"UMR Marbec, IRD, France",0000-0002-3519-6141
JTD,Justine Talpaert Daudon,"UMR Marbec, IRD, La Réunion, France",0000-0001-9582-451X
LM,Laurence Maurel,"Kart'eau, La Réunion, France",
LC,Leanne Carpentier,"Ifremer DOI, La Réunion, France",0009-0004-1796-3855
MD,Magali Duval,"Ifremer DOI, La Réunion, France",0000-0002-6425-7724
MC,Matteo Contini,"Ifremer DOI, La Réunion, France",0009-0007-8665-6201
MR,Mervyn Ravitchandirane,"Ifremer DOI, La Réunion, France",0009-0007-6170-0157
MJ,Mohan Julien,"Ifremer DOI, La Réunion, France",0000-0003-2808-1095
PM,Pascal Mouquet,"Ifremer DOI, La Réunion, France",
PG,Pierre Gogendeau,"Ifremer DOI, La Réunion, France",0000-0003-2440-431X
SBE,Serge Bernard,"Ifremer DOI, La Réunion, France",0000-0003-1772-0592
SBO,Sylvain Bonhommeau,"Ifremer DOI, La Réunion, France",0000-0002-0882-5918
SP,Sylvain Poulain,"UMR Marbec, IRD, La Réunion, France",0009-0005-9789-9095
TC,Thomas Chevrier,"Ifremer DOI, La Réunion, France",0009-0006-4108-5698
VI,Victor Illien,"Ifremer DOI, La Réunion, France",0009-0007-2143-8027
MZ,Matis Zouari,"Ifremer DOI, La Réunion, France",