label,old_label,code_gcrmn,id_gbif
Acropora_Branching,Acropore_branched,ACB,https://www.gbif.org/species/7673664
Acropora_Digitate,Acropore_digitised,ACD,https://www.gbif.org/species/7673664
Acropora_Submassive,Acropore_sub_massive,ACS,https://www.gbif.org/species/7673664
Acropora_Tabular,Acropore_tabular,ACT,https://www.gbif.org/species/7673664
Actinopyga_echinites,Actinopyga_echinites,,https://www.gbif.org/species/2279192
Actinopyga_mauritiana,Actinopyga_mauritiana,,https://www.gbif.org/species/4343105
Algae_Coralline,Algae_limestone,AC,https://www.gbif.org/species/670
Algae_Halimeda,Algae_drawn_up,AD,
Algae_Turf,Algae_sodding,AG,
Algal_Assemblage,Algae_assembly,AA,
Ascidians,Ascidia,AS,https://www.gbif.org/species/2330492
Atra/Leucospilota,Atra/Leucospilota,,https://www.gbif.org/species/2279143
Bleached_coral,Bleached_coral,,https://www.gbif.org/species/714
Blurred,Blurred,,
Bohadschia_vitiensis,Bohadschia_vitiensis,,https://www.gbif.org/species/5721580
D_savignyi/S_variolaris/E_calamaris/E_diadema,D_savignyi/S_variolaris/E_calamaris/E_diadema,,https://www.gbif.org/species/221
Dead_coral,Dead_coral,,
Echinometra_mathaei,Echinometra_mathaei,,https://www.gbif.org/species/2278863
Echinostrephus_molaris,Echinostrephus_molaris,,
Fish,Fish,,
Giant_clam,Clam,BE,https://www.gbif.org/species/4372618
Gorgonian,Gorgon,GO,https://www.gbif.org/species/9197 
Heterocentrotus_mamillatus,Heterocentrotus_mamillatus,,https://www.gbif.org/species/5842749
Heterocentrotus_trigonarius,Heterocentrus_trigonarius,,https://www.gbif.org/species/4341565
Homo_Sapiens,Homo_sapiens,,
Human_object,Human_object,,
Living_coral,Living_coral,,https://www.gbif.org/species/714
Non-acropora_Branching,No_acropore_branched,CB,https://www.gbif.org/species/714
Non-acropora_Coral_free,No_acropore_solitary,CL,https://www.gbif.org/species/714
Non-acropora_Encrusting,No_acropore_encrusting,CE,https://www.gbif.org/species/714
Non-acropora_Foliose,No_acropore_foliaceous,CF,https://www.gbif.org/species/714
Non-acropora_Massive,No_acropore_massive,CM,https://www.gbif.org/species/714
Non-acropora_Millepora,Millepore,MI,https://www.gbif.org/species/714
Non-acropora_Submassive,No_acropore_sub_massive,CS,https://www.gbif.org/species/714
Other_starfish,Other_starfish,ET,https://www.gbif.org/species/214
Rock,Rock,RO,
Rubble,Rubble,DEB,
Sand,Sand,SA,
Sea_anemone,Anemone,AN,https://www.gbif.org/species/705
Sea_cucumber,Sea_cucumber,,https://www.gbif.org/species/2279143
Sea_urchin,Sea_urchins,OU,https://www.gbif.org/species/221
Stichopus_chloronotus,Sichopus_chloronotus,,https://www.gbif.org/species/4343242
Soft_coral,Soft_coral,CMO,https://www.gbif.org/species/43
Sponges,Sponge,EP,https://www.gbif.org/species/105
Synapta_maculata,Synapta_maculata,,https://www.gbif.org/species/5721258
Syringodium_isoetifolium,Syringodium_isoetifolium,,https://www.gbif.org/species/2864078
Thalassodendron_ciliatum,Thalassodendron_ciliatum,,https://www.gbif.org/species/5328510
Thorny_starfish,Acanthasters,AP,https://www.gbif.org/species/2271207
Toxopneustes_pileolus,Toxopneustes_pileolus,,https://www.gbif.org/species/4341617
Trample,Trample,,
Tripneustes_gratilla,Tripneustes_gratilla,,https://www.gbif.org/species/4341500
Turtle,Turtle,,https://www.gbif.org/species/11418114
Useless,Useless,,
Waste,Waste,,